transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
10003,85,467,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-02
7623,46,3053,2017-01-01,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20
2276,22,2843,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,2016-02-04
16575,19,1745,2017-01-01,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-05-26
517,77,311,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09
18436,0,2011,2017-01-01,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2015-08-02
12782,71,1762,2017-01-01,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,2011-01-10
15852,48,3455,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,1997-10-04
5351,53,769,2017-01-01,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2005-10-22
15565,46,2543,2017-01-01,1.0,Approved,Solex,Standard,low,medium,1289.85,74.51,2007-12-11
140,11,462,2017-01-01,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2016-07-09
15205,87,123,2017-01-01,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,2010-08-20
19131,0,1707,2017-01-01,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18
17907,63,1852,2017-01-01,1.0,Cancelled,Solex,Standard,medium,medium,1483.2,99.59,1998-12-17
19378,61,3321,2017-01-01,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1998-12-16
9303,28,3073,2017-01-01,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05
5877,67,138,2017-01-01,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22
15138,3,1022,2017-01-01,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1999-07-26
8886,58,1691,2017-01-01,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,2009-04-12
11676,96,1229,2017-01-01,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,1991-05-06
11468,27,2686,2017-01-01,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23
11314,4,2068,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,1998-12-17
3318,24,2418,2017-01-01,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,1999-06-23
11282,74,3166,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2000-05-22
11030,32,2488,2017-01-01,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2010-06-07
9363,62,871,2017-01-01,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1992-10-02
17839,57,642,2017-01-01,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21
1403,0,2891,2017-01-01,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1993-07-20
19158,32,671,2017-01-01,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22
16878,86,1215,2017-01-02,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07
14469,52,2751,2017-01-02,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,2016-11-22
5685,94,1828,2017-01-02,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09
13322,66,1968,2017-01-02,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05
19977,44,1102,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2006-02-02
12711,40,788,2017-01-02,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02
8508,90,1697,2017-01-02,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,1999-07-26
2592,30,2046,2017-01-02,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,2015-04-11
991,89,2957,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20
4466,18,1175,2017-01-02,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2004-12-18
4461,26,2652,2017-01-02,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2006-11-10
7456,24,2446,2017-01-02,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,2011-05-07
9061,94,2796,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09
4276,90,2251,2017-01-02,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19
16623,93,786,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03
4375,7,232,2017-01-02,0.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2004-09-28
7129,38,999,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-07-21
14097,3,2649,2017-01-02,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1991-11-07
8339,83,3381,2017-01-02,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16
514,57,1679,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2012-05-18
9037,49,892,2017-01-02,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-04
4246,28,1844,2017-01-02,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05
14137,3,1285,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15
1998,19,214,2017-01-02,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08
5349,2,711,2017-01-02,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02
19196,12,2468,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25
9552,23,281,2017-01-02,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1993-04-20
15271,15,261,2017-01-02,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07
5251,63,665,2017-01-02,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,1998-12-17
8209,52,340,2017-01-02,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,1997-02-09
14489,3,1266,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2004-07-25
5168,36,580,2017-01-02,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,2006-02-02
11481,89,432,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09
10531,35,1721,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14
19160,3,2292,2017-01-02,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-03
17240,54,444,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2011-08-24
338,32,1881,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2003-03-18
14675,72,2202,2017-01-02,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06
10000,1,97,2017-01-02,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1991-11-07
1920,51,1399,2017-01-02,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10
3256,6,1239,2017-01-02,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2014-03-03
11281,44,2873,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09
5622,11,2153,2017-01-02,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04
14140,54,555,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12
17258,49,512,2017-01-02,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-04
19472,100,1742,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2003-08-05
13310,94,2824,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09
4083,9,456,2017-01-03,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2014-03-03
18691,1,919,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-09-15
8877,19,495,2017-01-03,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05
839,54,1779,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2015-08-10
6406,4,1056,2017-01-03,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-09
864,95,565,2017-01-03,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10
825,30,513,2017-01-03,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,1991-11-10
18053,53,2087,2017-01-03,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1991-01-21
12736,9,1936,2017-01-03,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2004-08-17
5738,64,3483,2017-01-03,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,1998-12-17
10739,5,720,2017-01-03,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2004-08-07
17469,0,5034,2017-01-03,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4000244,1992-10-02
7213,33,307,2017-01-03,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11
11812,38,2862,2017-01-03,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,2011-03-16
1155,16,127,2017-01-03,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-09
1153,79,1114,2017-01-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09
6032,22,1777,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15
11437,21,3435,2017-01-03,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1996-04-05
11411,0,539,2017-01-03,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08
12236,15,2391,2017-01-03,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07
12408,30,3237,2017-01-03,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,2015-04-11
17983,10,1793,2017-01-03,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2003-08-05
12427,33,2983,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2012-04-10
1449,1,173,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1997-08-25
12639,0,2266,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12
8469,43,2683,2017-01-03,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,2006-10-01
16852,5,2338,2017-01-03,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-29
8419,20,1192,2017-01-03,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-05
998,11,1041,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04
4522,60,2690,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2012-05-18
17817,71,207,2017-01-03,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24
19723,60,1841,2017-01-03,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24
4859,11,608,2017-01-03,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1999-06-23
6375,45,867,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12
14320,66,139,2017-01-03,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05
9747,94,2825,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,1994-08-10
9132,15,2150,2017-01-03,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2010-05-05
15502,13,239,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09
14280,83,3205,2017-01-03,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16
125,22,3382,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12
18983,21,743,2017-01-03,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1993-10-02
15602,0,2027,2017-01-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06
13865,53,2217,2017-01-03,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09
15096,32,894,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1993-04-20
598,15,1665,2017-01-03,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07
8147,90,2481,2017-01-03,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2016-03-29
16184,81,2861,2017-01-03,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,2015-08-02
3596,76,1710,2017-01-03,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10
15185,58,1534,2017-01-03,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18
2818,20,3414,2017-01-03,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1993-07-15
6800,0,1427,2017-01-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06
71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12
3589,85,2586,2017-01-03,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1997-08-25
6626,75,3090,2017-01-03,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22
16243,89,2653,2017-01-03,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20
12653,74,2057,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2015-08-10
14995,82,2712,2017-01-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-22
13038,12,1823,2017-01-04,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25
18484,17,1848,2017-01-04,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,2010-11-05
18284,49,1154,2017-01-04,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2009-04-12
16660,63,307,2017-01-04,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,1998-12-17
16641,58,3176,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18
7464,41,2131,2017-01-04,0.0,Approved,Solex,Road,medium,medium,416.98,312.74,2014-07-28
390,79,3015,2017-01-04,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2007-08-04
10792,89,8,2017-01-04,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2016-07-09
16618,73,3249,2017-01-04,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2012-06-04
4394,32,113,2017-01-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22
14694,80,1594,2017-01-04,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2015-08-02
2654,38,1833,2017-01-04,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2011-04-16
14224,69,1351,2017-01-04,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10
722,27,633,2017-01-04,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2010-06-07
6286,74,2146,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2000-05-22
19522,4,192,2017-01-04,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-09
4504,1,1091,2017-01-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14
7168,38,330,2017-01-04,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-07-28
18192,59,513,2017-01-04,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,1993-07-20
15826,11,3426,2017-01-04,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04
15646,33,2837,2017-01-04,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11
19540,34,155,2017-01-04,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2003-03-18
305,77,2819,2017-01-04,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10
1373,72,566,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,1993-06-23
18215,28,424,2017-01-04,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,2011-04-16
12781,98,1429,2017-01-04,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1994-08-10
896,53,43,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09
8677,6,911,2017-01-04,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2003-02-07
3197,96,113,2017-01-04,0.0,Cancelled,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10
10466,85,2520,2017-01-04,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1997-08-25
5655,0,1892,2017-01-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-05-26
12617,44,3024,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09
10125,68,2497,2017-01-04,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,2010-08-20
10446,3,1123,2017-01-04,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15
9835,86,1879,2017-01-04,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2003-03-18
14875,59,2548,2017-01-04,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,1993-07-20
4113,3,875,2017-01-04,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2013-09-16
5385,0,1796,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1993-04-20
6989,80,1822,2017-01-04,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-25
18775,3,2613,2017-01-04,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1991-11-07
10706,69,2432,2017-01-04,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2014-10-10
4250,66,590,2017-01-04,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2005-10-22
19757,15,924,2017-01-04,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07
16295,59,2335,2017-01-04,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,1993-07-20
1586,18,133,2017-01-04,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,1993-10-02
9531,51,380,2017-01-04,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10
10774,37,651,2017-01-04,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20
4093,39,579,2017-01-04,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2010-06-07
18066,1,489,2017-01-04,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14
9852,15,879,2017-01-04,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07
11804,48,201,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,2012-06-04
2523,82,3195,2017-01-04,1.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10
10676,53,29,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09
9304,95,258,2017-01-04,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-25
2605,58,1473,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2012-05-18
11271,17,1119,2017-01-05,0.0,Cancelled,Solex,Standard,high,medium,1024.66,614.8,2013-03-12
15046,0,1151,2017-01-05,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2015-08-02
15044,18,2912,2017-01-05,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10
706,54,1329,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12
3259,88,3375,2017-01-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1996-11-09
3272,5,944,2017-01-05,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-29
7560,44,1482,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09
6621,37,80,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20
13756,67,607,2017-01-05,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22
16215,62,2869,2017-01-05,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23
2506,35,1126,2017-01-05,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12
16912,16,3060,2017-01-05,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,2013-03-12
5606,53,2052,2017-01-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2015-10-18
6238,92,1431,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2002-10-10
7575,40,1863,2017-01-05,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2003-07-21
9011,86,1533,2017-01-05,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1998-12-16
16957,34,2836,2017-01-05,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2003-03-18
8578,38,909,2017-01-05,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2004-09-28
17557,79,2879,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2004-08-07
6655,52,1776,2017-01-05,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,2001-11-25
11260,60,1889,2017-01-05,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24
7710,1,3181,2017-01-05,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22
2801,81,3417,2017-01-05,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10
702,54,2368,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12
11268,68,2759,2017-01-05,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,2006-05-22
2825,93,3060,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,1994-08-10
9013,44,3169,2017-01-05,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2001-11-25
12528,8,1143,2017-01-05,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,2004-08-17
4032,64,1584,2017-01-05,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18
2812,2,1824,2017-01-05,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2011-08-29
12143,13,2052,2017-01-05,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2003-08-05
13264,95,2353,2017-01-05,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2002-10-10
7783,19,3430,2017-01-05,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2016-02-04
14455,15,3213,2017-01-05,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07
3605,62,256,2017-01-05,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,2016-02-04
18782,50,1537,2017-01-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16
1175,83,641,2017-01-05,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16
2671,53,3365,2017-01-05,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09
